entry_id,tool,category,entry_risk,artifact_class,artifact,os,forensic_value,evidence_type,description,confidence,volatility,retention
AIRT-0049,Agent framework libraries,agent-framework,medium,disk,<site-packages>/semantic_kernel/,windows|macos|linux,medium,program-presence,"Presence in site-packages is the inventory signal for this class. It is evidence the library is available, not that an agent ran - absence of a dot-directory is expected here rather than suspicious. The same check applies to pydantic_ai, smolagents, agents (OpenAI Agents SDK) and strands.",medium,stable,
AIRT-0049,Agent framework libraries,agent-framework,medium,disk,<project>/requirements.txt | <project>/pyproject.toml | <project>/uv.lock,windows|macos|linux,medium,program-presence|configuration,"Dependency manifests and lockfiles name the framework and pin its version, and they travel with the repository. Usually the fastest way to answer ""was an agent framework in use here"" across an estate, because it can be answered from source control rather than from endpoints.",medium,stable,
AIRT-0049,Agent framework libraries,agent-framework,medium,network,"Model provider API endpoints (api.openai.com, api.anthropic.com, generativelanguage.googleapis.com, api-inference.huggingface.co, bedrock-runtime.*.amazonaws.com)",,,,"Often the only network-visible signal, and the only one that distinguishes an installed library from a running agent. The destination identifies the provider; it does not identify which framework called it.",medium,live,
AIRT-0049,Agent framework libraries,agent-framework,medium,process,python,windows|macos|linux,,,,medium,live,
AIRT-0049,Agent framework libraries,agent-framework,medium,registry,HKCU\Environment,,medium,,"The credential for this whole class. A persistently set user variable is the most common way a developer supplies it, and unlike a .env beside the script it is not tied to any one project.",medium,stable,
AIRT-0049,Agent framework libraries,agent-framework,medium,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The image name is not the discriminator here, because the process is a shared interpreter that hosts much of this catalog - key on the command line instead. The child processes of this event are what the agent actually did.",medium,rotating,
AIRT-0049,Agent framework libraries,agent-framework,medium,credential,OPENAI_API_KEY | ANTHROPIC_API_KEY | GOOGLE_API_KEY | HF_TOKEN | AWS credentials,windows|macos|linux,high,credential-access,"plaintext: The credential belongs to the calling code, not to the framework, and is almost always an environment variable or a .env file beside the script. This is shared across every framework in this class, which is why one entry covers them all.",medium,stable,
AIRT-0049,Agent framework libraries,agent-framework,medium,mcp-config,"Framework-specific MCP imports in project source - langchain_mcp_adapters, autogen_ext.tools.mcp, crewai_tools.MCPServerAdapter, semantic_kernel MCP plugins, and the mcp package itself",,high,execution|persistence,"These are imported libraries rather than installed applications, so there is no path to collect. Search project source and dependency manifests instead.",medium,stable,
AIRT-0013,AgentGPT,agent-framework,medium,credential,<install>/next/.env,windows|macos|linux|docker,high,credential-access,"plaintext: Canonical env file, plaintext (confirms the VERIFICATION.md correction). Docker-compose bind-mounts it into the frontend container and passes it to the backend as env_file. Contents: REWORKD_PLATFORM_OPENAI_API_KEY, REWORKD_PLATFORM_SERP_API_KEY, REWORKD_PLATFORM_REPLICATE_API_KEY, GOOGLE/GITHUB/DISCORD_CLIENT_SECRET, NEXTAUTH_SECRET, and the MySQL user, password and DATABASE_URL.",high,stable,
AIRT-0013,AgentGPT,agent-framework,medium,credential,<install>/platform/.env,windows|macos|linux|docker,high,credential-access,"plaintext: Second full copy of the same plaintext secrets. The setup CLI writes byte-identical content to next/.env and platform/.env, and the FastAPI backend's pydantic Settings independently reads env_file "".env"" from its own directory (env_prefix REWORKD_PLATFORM_). A collection step that takes only next/.env leaves a complete duplicate of every key on disk.",high,stable,
